name,new_title,url,id
Elvis Presley,Can't Help Falling In Love,https://music.youtube.com/watch?v=9EQ2_g_qvdA&list=OLAK5uy_k-6X5rUaUt6hvaXfLA2sUWveRx_5rDCQ8,9EQ2_g_qvdA
Elvis Presley,Burning Love,https://music.youtube.com/watch?v=5eYjNtK7Ir0&list=OLAK5uy_k-6X5rUaUt6hvaXfLA2sUWveRx_5rDCQ8,5eYjNtK7Ir0
Elvis Presley,Can't Help Falling In Love,https://music.youtube.com/watch?v=TlrNxJqODBc&list=OLAK5uy_k-6X5rUaUt6hvaXfLA2sUWveRx_5rDCQ8,TlrNxJqODBc
Elvis Presley,Jailhouse Rock,https://music.youtube.com/watch?v=KfEbsZdTrfA&list=OLAK5uy_k-6X5rUaUt6hvaXfLA2sUWveRx_5rDCQ8,KfEbsZdTrfA
Elvis Presley,My Way (Rare Gems Pt.4),https://music.youtube.com/watch?v=17vLoAzdw9g&list=OLAK5uy_k-6X5rUaUt6hvaXfLA2sUWveRx_5rDCQ8,17vLoAzdw9g
Elvis Presley,It's Now or Never (Bonus Track),https://music.youtube.com/watch?v=3MoHqYVR6Qo&list=OLAK5uy_k-6X5rUaUt6hvaXfLA2sUWveRx_5rDCQ8,3MoHqYVR6Qo
Elvis Presley,Always On My Mind,https://music.youtube.com/watch?v=0eJ7C7-NQJ0&list=OLAK5uy_k-6X5rUaUt6hvaXfLA2sUWveRx_5rDCQ8,0eJ7C7-NQJ0
Elvis Presley,(You're The) Devil In Disguise,https://music.youtube.com/watch?v=wFWGQnEtB_M&list=OLAK5uy_k-6X5rUaUt6hvaXfLA2sUWveRx_5rDCQ8,wFWGQnEtB_M
Emmylou Harris,Pledging My Love,https://music.youtube.com/watch?v=lHD6CAfD03Y&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,lHD6CAfD03Y
Emmylou Harris,If I Needed You,https://music.youtube.com/watch?v=ILfCEPL-9Oo&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,ILfCEPL-9Oo
Emmylou Harris,In My Dreams,https://music.youtube.com/watch?v=new-tk8mFSg&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,new-tk8mFSg
Emmylou Harris,Save the Last Dance for Me (2003 Remaster),https://music.youtube.com/watch?v=3xxKV-UliBs&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,3xxKV-UliBs
Emmylou Harris,Tougher Than the Rest,https://music.youtube.com/watch?v=MrfMRsFcp7A&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,MrfMRsFcp7A
Emmylou Harris,Wayfaring Stranger (2002 Remaster),https://music.youtube.com/watch?v=BoTrGWL9_o4&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,BoTrGWL9_o4
Emmylou Harris,Two More Bottles of Wine (2003 Remaster),https://music.youtube.com/watch?v=JHKvvT6IO9M&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,JHKvvT6IO9M
Emmylou Harris,Boulder to Birmingham (2003 Remaster),https://music.youtube.com/watch?v=IZxVlVT5ABo&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,IZxVlVT5ABo
Emmylou Harris,Beneath Still Waters (2003 Remaster),https://music.youtube.com/watch?v=67wsNP-WKRM&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,67wsNP-WKRM
Emmylou Harris,One of These Days,https://music.youtube.com/watch?v=nk69Ju0Qh0U&list=OLAK5uy_nK5yTqbi8htu_vSQxH5Lu0CJSajYo3JeA,nk69Ju0Qh0U
Barry Manilow,Copacabana (At The Copa),https://music.youtube.com/watch?v=_WAUxLabYOE&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,_WAUxLabYOE
Barry Manilow,Mandy,https://music.youtube.com/watch?v=PyACPtkZ8qM&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,PyACPtkZ8qM
Barry Manilow,Can't Smile Without You,https://music.youtube.com/watch?v=l_FNkf-bHnA&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,l_FNkf-bHnA
Barry Manilow,It Never Rains In Southern California,https://music.youtube.com/watch?v=a1-MZaBwPIw&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,a1-MZaBwPIw
Barry Manilow,Somewhere Down The Road,https://music.youtube.com/watch?v=9EWIKaHdYJU&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,9EWIKaHdYJU
Barry Manilow,I Write the Songs,https://music.youtube.com/watch?v=934QpLtK05s&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,934QpLtK05s
Barry Manilow,Even Now,https://music.youtube.com/watch?v=xuuUSxAJZIA&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,xuuUSxAJZIA
Barry Manilow,Copacabana (At the Copa) (Long Version),https://music.youtube.com/watch?v=KRs4AUAEkHE&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,KRs4AUAEkHE
Barry Manilow,This One's for You,https://music.youtube.com/watch?v=bJSgd7TYnQY&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,bJSgd7TYnQY
Barry Manilow,Could It Be Magic,https://music.youtube.com/watch?v=Vc5XtkZSH-Q&list=OLAK5uy_kSCrWofn_fBInFyc8RBqUjsntsDgfwMHQ,Vc5XtkZSH-Q
The Hit Crew,Asereje,https://music.youtube.com/watch?v=b0kkFdZkIlA&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,b0kkFdZkIlA
The Hit Crew,Nocturne #2 Op. 9 in Eb Major,https://music.youtube.com/watch?v=kMd_2bzgb7A&list=OLAK5uy_k7qU-PcjvbjgE0Dl8FDTzJkb3CYr1rTj4,kMd_2bzgb7A
